County,State,CenReg,CenDiv,EMMReg
19169,19,2,4,4
19171,19,2,4,4
19173,19,2,4,4
19175,19,2,4,4
19177,19,2,4,13
19179,19,2,4,13
19181,19,2,4,4
19183,19,2,4,13
19185,19,2,4,4
19187,19,2,4,4
19189,19,2,4,4
19191,19,2,4,4
19193,19,2,4,4
19195,19,2,4,4
19197,19,2,4,4
20001,20,2,4,17
20003,20,2,4,17
20005,20,2,4,17
20007,20,2,4,18
20009,20,2,4,17
20011,20,2,4,17
20013,20,2,4,17
20015,20,2,4,17
20017,20,2,4,17
20019,20,2,4,17
20021,20,2,4,17
20023,20,2,4,17
20025,20,2,4,17
20027,20,2,4,17
20029,20,2,4,17
20031,20,2,4,17
20033,20,2,4,17
20035,20,2,4,17
20037,20,2,4,17
20039,20,2,4,17
20041,20,2,4,17
20043,20,2,4,17
20045,20,2,4,17
20047,20,2,4,17
20049,20,2,4,17
20051,20,2,4,17
20053,20,2,4,17
20055,20,2,4,17
20057,20,2,4,17
20059,20,2,4,17
20061,20,2,4,17
20063,20,2,4,17
20065,20,2,4,17
20067,20,2,4,17
20069,20,2,4,17
20071,20,2,4,17
20073,20,2,4,17
20075,20,2,4,17
20077,20,2,4,17
20079,20,2,4,17
20081,20,2,4,17
20083,20,2,4,17
20085,20,2,4,17
20087,20,2,4,17
20089,20,2,4,17
20091,20,2,4,17
20093,20,2,4,17
20095,20,2,4,17
20097,20,2,4,17
20099,20,2,4,17
20101,20,2,4,17
20103,20,2,4,17
20105,20,2,4,17
20107,20,2,4,17
20109,20,2,4,17
20111,20,2,4,17
20113,20,2,4,17
20115,20,2,4,17
20117,20,2,4,17
20119,20,2,4,17
20121,20,2,4,17
20123,20,2,4,17
20125,20,2,4,17
20127,20,2,4,17
20129,20,2,4,17
20131,20,2,4,17
20133,20,2,4,17
20135,20,2,4,17
20137,20,2,4,17
20139,20,2,4,17
20141,20,2,4,17
20143,20,2,4,17
20145,20,2,4,17
20147,20,2,4,17
20149,20,2,4,17
20151,20,2,4,17
20153,20,2,4,17
20155,20,2,4,17
20157,20,2,4,17
20159,20,2,4,17
20161,20,2,4,17
20163,20,2,4,17
20165,20,2,4,17
20167,20,2,4,17
20169,20,2,4,17
20171,20,2,4,17
20173,20,2,4,17
20175,20,2,4,17
20177,20,2,4,17
20179,20,2,4,17
20181,20,2,4,17
20183,20,2,4,17
