Sector,emis,region_cd,region,emis_base,emis_2020,emis_2030,emis_2040,emis_2050,GF_2020,GF_2030,GF_2040,GF_2050
commercial,CO2,8,mountain,0.570874666666666,0.187788,0.195951,0.208289,0.226439,0.328947860125749,0.343246970730295,0.364859420398173,0.396652738721401
residential,CO2,8,mountain,0.417097521666667,0.423512042,0.44759824,0.466054239,0.495295323,1.01537894616996,1.07312610780198,1.11737475000501,1.18748085824357
commercial,NOX,8,mountain,34.7556384126045,8.90538050342504,9.32434732275072,9.91987868707397,10.7878774876636,0.256228367832121,0.268283011005464,0.285417823988997,0.310392154492874
residential,NOX,8,mountain,19.9004940801088,19.7395971424598,20.466413879978,21.0118216834951,22.0873762338567,0.991914927488669,1.02843747484817,1.05584422170187,1.10989084717921
commercial,OC,8,mountain,0.0052409242490715,0.0058295856718,0.0058295856718,0.0058295856718,0.0058295856718,1.11232015475759,1.11232015475759,1.11232015475759,1.11232015475759
residential,OC,8,mountain,0,0,0,0,0,NA,NA,NA,NA
commercial,PM10.PRI,8,mountain,0.964667832321561,0.6295992785313,0.652088392412467,0.690374727196931,0.746670695245477,0.652659140728381,0.675971946574768,0.715660566327252,0.774018444720548
residential,PM10.PRI,8,mountain,13.4153433300197,10.4164725102671,8.86059934268851,7.55296067241171,6.6494465358226,0.776459629397482,0.66048248820148,0.563009122212352,0.495659810729037
commercial,PM25.PRI,8,mountain,0.954336013984432,0.625960201784343,0.648392376844647,0.686636165167443,0.742896327786148,0.655911746608941,0.679417277922432,0.719490991753188,0.778443144657713
residential,PM25.PRI,8,mountain,11.5343794528819,8.95524248021907,7.61695794604725,6.4922081094783,5.71492853465181,0.776395688801581,0.660369981511585,0.562857164184606,0.4954690937642
commercial,SO2,8,mountain,3.03776415805671,0.416606109356305,0.438210186082503,0.457999812459077,0.482380623111419,0.137142348016514,0.14425418277462,0.150768719567771,0.158794625919875
residential,SO2,8,mountain,0.550115195934834,0.485300101764376,0.440182166494166,0.404104080932061,0.382067897585033,0.882179051497905,0.800163619814475,0.734580836737931,0.69452343874226
commercial,VOC,8,mountain,1.44649104994374,0.473609236348741,0.493648015887491,0.523648278857199,0.567908829951486,0.32741940322905,0.341272775871438,0.36201280255247,0.392611368023033
